node_label;node_id;PPCounter;log10(PP*)
148;132;40;-3.845767496940711
85;6;40;-2.8765421872478747
86;7;40;-2.796559302391186
87;11;40;-2.099209008259146
88;12;40;-2.4786382179094293
89;15;40;-2.190816519212328
154;143;40;-3.851417360315551
90;16;40;-2.3711627074897024
91;19;40;-4.517403680731714
156;147;40;-3.851133695170221
92;20;40;-4.513494852579355
93;21;40;-2.704280117627697
94;24;40;-4.655408187921093
95;25;40;-2.740132566919407
96;28;40;-5.3266963197505195
97;29;40;-4.780829583626161
98;30;40;-3.055819790136584
99;33;40;-4.719580916808932
100;34;40;-2.9527190062556485
101;38;40;-5.15323357557946
102;39;40;-3.225380102922625
103;42;40;-5.79827668523397
104;43;40;-3.7029884499679167
106;49;40;-4.4834798834592835
107;50;40;-2.4454763429440245
108;53;40;-4.550616494663645
109;54;40;-2.4459880280653485
110;57;40;-4.826870054041829
111;58;40;-4.676912198360904
112;59;40;-2.5254867529406413
113;62;40;-4.6705487960468695
114;63;40;-2.5559541078145256
115;66;40;-4.821468490092965
116;67;40;-4.465158762333256
117;68;40;-2.9136130995690865
118;71;40;-4.470468230076834
119;72;40;-2.8542255696371197
120;76;40;-3.94652080279901
121;77;40;-2.7606693655114003
122;80;40;-4.063290099078566
123;81;40;-2.878924364904045
124;85;40;-4.008938940906062
125;86;40;-2.529842626884009
126;89;40;-4.222081564446445
127;90;40;-2.705875434880361
130;96;40;-3.3019319231872175
132;100;40;-3.218133098384758
137;111;40;-5.71150369943033
138;112;40;-3.1879944708868866
139;115;40;-5.711584789172052
140;116;40;-3.273574119431795
146;128;41;-1.619947667724103E-5
82;1;41;-2.4309323900782407
83;2;41;-2.6773455589860276
84;3;41;-2.632894161284582
147;131;41;-1.2687396924272005E-4
148;132;41;-0.03413464114531683
85;6;41;-3.224643505507866
